Date/Time,Temp (°F),Feels Like (°F),Humidity (%),UV,Wind (mph),Gusts (mph),Outer Clothing,Rain?
01/26/2024 08:14,55,54,96%,0,5,13,jacket-long,
01/26/2024 13:46,65,65,65%,2,9,19,jacket-short,
01/26/2024 23:46,49,47,86%,0,4,10,coat,
01/27/2024 12:54,56,55,66%,3,5,12,jacket-long,
01/27/2024 21:07,50,49,92%,0,7,18,coat,
01/28/2024 15:07,42,35,73%,1,13,27,coat,
01/28/2024 22:02,36,28,79%,0,14,34,coat,
01/29/2024 23:36,31,27,83%,0,4,12,coat,
01/30/2024 20:39,38,36,76%,0,3,,coat,
01/30/2024 23:15,37,35,82%,0,3,9,coat,
01/31/2024 11:38,41,37,79%,2,6,14,coat,
01/31/2024 14:17,43,39,69%,2,6,13,coat,
02/04/2024 17:10,50,48,52%,0,3,6,coat,
02/04/2024 22:16,38,37,70%,0,2,3,coat,
02/06/2024 14:26,47,42,42%,2,9,17,coat,
02/06/2024 22:15,33,30,64%,0,3,6,coat,
02/07/2024 08:06,27,26,76%,0,3,4,coat,
02/07/2024 13:55,51,48,36%,2,3,6,jacket-long,
02/08/2024 15:10,56,54,43%,1,7,14,jacket-long,
02/08/2024 17:25,52,41,50%,0,5,11,coat,
02/09/2024 14:10,65,64,49%,2,7,14,jacket-long,
02/09/2024 15:20,65,63,51%,1,8,15,jacket-long,
02/10/2024 12:53,61,60,80%,3,7,17,jacket-long,
02/11/2024 17:18,53,53,83%,0,2,6,jacket-long,
02/11/2024 20:09,50,49,91%,0,3,8,coat,
02/12/2024 09:11,48,47,93%,1,3,7,coat,
02/13/2024 09:24,36,27,68%,1,16,37,coat,
02/13/2024 09:52,37,27,63%,2,15,35,coat,
02/13/2024 21:03,37,31,63%,0,9,25,coat,
02/13/2024 22:32,37,30,65%,0,9,25,coat,
02/14/2024 13:04,49,45,50%,4,12,28,coat,
02/14/2024 14:15,50,48,51%,3,13,30,jacket-long,
02/14/2024 17:26,48,44,57%,0,8,20,coat,
02/14/2024 20:04,42,39,70%,0,4,10,coat,
02/14/2024 22:30,39,37,73%,0,3,5,coat,
02/14/2024 23:02,38,37,74%,0,2,5,coat,
02/15/2024 12:19,53,51,51%,3,9,20,coat,
02/15/2024 15:52,58,56,37%,1,16,34,coat,
02/15/2024 18:04,53,51,50%,0,11,25,coat,
02/15/2024 20:56,49,45,63%,0,9,23,coat,
02/15/2024 23:01,47,43,70%,0,10,27,coat,
02/16/2024 07:55,33,27,59%,0,6,16,coat,
02/16/2024 08:36,34,29,55%,1,7,17,coat,
02/17/2024 00:26,45,40,84%,0,11,25,coat,
02/17/2024 13:51,33,23,54%,2,15,30,coat,
02/17/2024 16:09,31,21,54%,1,14,29,coat,
02/17/2024 22:15,23,14,68%,0,9,21,coat,
02/18/2024 07:04,21,13,70%,0,6,18,coat,
02/18/2024 10:42,33,25,46%,3,9,20,coat,
02/18/2024 13:30,43,37,31%,3,11,22,coat,
02/18/2024 15:07,44,39,32%,2,11,23,coat,
02/19/2024 09:30,37,35,50%,2,3,9,coat,
02/19/2024 15:19,50,48,36%,2,3,8,coat,
02/19/2024 17:42,45,43,49%,0,2,5,coat,
02/19/2024 18:28,42,40,53%,0,2,4,coat,
02/20/2024 00:19,32,30,68%,0,2,4,coat,
02/20/2024 09:13,35,32,63%,1,3,9,coat,
02/20/2024 10:34,41,38,53%,2,4,10,coat,
02/21/2024 00:06,34,32,75%,0,3,4,coat,
02/21/2024 13:12,51,49,44%,4,4,9,jacket-long,
02/21/2024 14:59,53,51,40%,3,3,9,jacket-short,
02/21/2024 14:44,54,52,40%,2,3,8,jacket-short,
02/21/2024 15:21,55,52,39%,2,4,8,jacket-short,
02/21/2024 20:36,42,40,67%,0,3,7,coat,
02/21/2024 23:48,38,36,75%,0,2,4,coat,
02/22/2024 00:07,37,36,75%,0,2,4,coat,
